index,지역명,연도,월,평당분양가격,전용면적
116,서울,2018,6,23865.6,60㎡
117,서울,2018,6,22238.699999999997,60㎡~85㎡
118,서울,2018,6,25050.3,85㎡~102㎡
119,서울,2018,6,22786.5,102㎡~
120,서울,2018,7,24288.0,60㎡
121,서울,2018,7,22803.0,60㎡~85㎡
122,서울,2018,7,25050.3,85㎡~102㎡
123,서울,2018,7,22816.199999999997,102㎡~
124,서울,2018,8,23486.1,60㎡
125,서울,2018,8,22459.8,60㎡~85㎡
126,서울,2018,8,21951.6,85㎡~102㎡
127,서울,2018,8,21374.1,102㎡~
128,서울,2018,9,21882.3,60㎡
129,서울,2018,9,23703.899999999998,60㎡~85㎡
130,서울,2018,9,16701.3,85㎡~102㎡
131,서울,2018,9,21575.399999999998,102㎡~
132,서울,2018,10,22459.8,60㎡
133,서울,2018,10,25175.699999999997,60㎡~85㎡
134,서울,2018,10,22578.6,85㎡~102㎡
135,서울,2018,10,24330.899999999998,102㎡~
136,서울,2018,11,23156.1,60㎡
137,서울,2018,11,25146.0,60㎡~85㎡
138,서울,2018,11,22578.6,85㎡~102㎡
139,서울,2018,11,24258.3,102㎡~
140,서울,2018,12,24413.399999999998,60㎡
141,서울,2018,12,26037.0,60㎡~85㎡
142,서울,2018,12,22578.6,85㎡~102㎡
143,서울,2018,12,24898.5,102㎡~
144,서울,2019,1,24420.0,60㎡
145,서울,2019,1,26746.5,60㎡~85㎡
146,서울,2019,1,22578.6,85㎡~102㎡
147,서울,2019,1,25697.1,102㎡~
148,서울,2019,2,25258.199999999997,60㎡
149,서울,2019,2,26865.3,60㎡~85㎡
150,서울,2019,2,22578.6,85㎡~102㎡
151,서울,2019,2,24182.399999999998,102㎡~
152,서울,2019,3,25575.0,60㎡
153,서울,2019,3,27030.3,60㎡~85㎡
154,서울,2019,3,22578.6,85㎡~102㎡
155,서울,2019,3,23779.8,102㎡~
156,서울,2019,4,26050.199999999997,60㎡
157,서울,2019,4,27297.6,60㎡~85㎡
158,서울,2019,4,22578.6,85㎡~102㎡
159,서울,2019,4,25353.899999999998,102㎡~
160,서울,2019,5,26743.199999999997,60㎡
161,서울,2019,5,27508.8,60㎡~85㎡
162,서울,2019,5,22578.6,85㎡~102㎡
163,서울,2019,5,25842.3,102㎡~
164,서울,2019,6,27327.3,60㎡
165,서울,2019,6,28340.399999999998,60㎡~85㎡
166,서울,2019,6,42002.399999999994,85㎡~102㎡
167,서울,2019,6,27819.0,102㎡~
168,서울,2019,7,27162.3,60㎡
169,서울,2019,7,28069.8,60㎡~85㎡
170,서울,2019,7,42002.399999999994,85㎡~102㎡
171,서울,2019,7,27819.0,102㎡~
172,서울,2019,8,27135.899999999998,60㎡
173,서울,2019,8,28254.6,60㎡~85㎡
174,서울,2019,8,42002.399999999994,85㎡~102㎡
175,서울,2019,8,29257.8,102㎡~
176,서울,2019,9,27076.5,60㎡
177,서울,2019,9,28287.6,60㎡~85㎡
178,서울,2019,9,42002.399999999994,85㎡~102㎡
179,서울,2019,9,29607.6,102㎡~
180,서울,2019,10,27159.0,60㎡
181,서울,2019,10,28294.199999999997,60㎡~85㎡
182,서울,2019,10,42002.399999999994,85㎡~102㎡
183,서울,2019,10,29379.899999999998,102㎡~
184,서울,2019,11,27046.8,60㎡
185,서울,2019,11,27390.0,60㎡~85㎡
186,서울,2019,11,42002.399999999994,85㎡~102㎡
187,서울,2019,11,29541.6,102㎡~
188,서울,2019,12,26779.5,60㎡
189,서울,2019,12,26964.3,60㎡~85㎡
190,서울,2019,12,42002.399999999994,85㎡~102㎡
191,서울,2019,12,29663.699999999997,102㎡~
192,서울,2020,1,27489.0,60㎡
193,서울,2020,1,26845.5,60㎡~85㎡
194,서울,2020,1,42002.399999999994,85㎡~102㎡
195,서울,2020,1,28970.699999999997,102㎡~
196,서울,2020,2,27036.899999999998,60㎡
197,서울,2020,2,26862.0,60㎡~85㎡
198,서울,2020,2,45655.5,85㎡~102㎡
199,서울,2020,2,29828.699999999997,102㎡~
200,서울,2020,3,28158.899999999998,60㎡
201,서울,2020,3,26928.0,60㎡~85㎡
202,서울,2020,3,45655.5,85㎡~102㎡
203,서울,2020,3,29815.5,102㎡~
204,서울,2020,4,27769.5,60㎡
205,서울,2020,4,26733.3,60㎡~85㎡
206,서울,2020,4,45655.5,85㎡~102㎡
207,서울,2020,4,30993.6,102㎡~
208,서울,2020,5,27825.6,60㎡
209,서울,2020,5,27442.8,60㎡~85㎡
210,서울,2020,5,36359.4,85㎡~102㎡
211,서울,2020,5,31039.8,102㎡~
212,서울,2020,6,28287.6,60㎡
213,서울,2020,6,28300.8,60㎡~85㎡
214,서울,2020,6,41537.1,85㎡~102㎡
215,서울,2020,6,31043.1,102㎡~
216,서울,2020,7,27304.199999999997,60㎡
217,서울,2020,7,26561.699999999997,60㎡~85㎡
218,서울,2020,7,32795.4,85㎡~102㎡
219,서울,2020,7,28726.5,102㎡~
220,서울,2020,8,27251.399999999998,60㎡
221,서울,2020,8,26545.199999999997,60㎡~85㎡
222,서울,2020,8,32795.4,85㎡~102㎡
223,서울,2020,8,28726.5,102㎡~
224,서울,2020,9,27360.3,60㎡
225,서울,2020,9,26515.5,60㎡~85㎡
226,서울,2020,9,32795.4,85㎡~102㎡
227,서울,2020,9,28719.899999999998,102㎡~
228,서울,2020,10,27215.1,60㎡
229,서울,2020,10,26442.899999999998,60㎡~85㎡
230,서울,2020,10,32795.4,85㎡~102㎡
231,서울,2020,10,28634.1,102㎡~
232,서울,2020,11,27838.8,60㎡
233,서울,2020,11,27000.6,60㎡~85㎡
234,서울,2020,11,32795.4,85㎡~102㎡
235,서울,2020,11,28634.1,102㎡~
236,서울,2020,12,28680.3,60㎡
237,서울,2020,12,26043.6,60㎡~85㎡
238,서울,2020,12,32237.699999999997,85㎡~102㎡
239,서울,2020,12,31287.3,102㎡~
0,경기,2016,1,10866.9,60㎡
1,경기,2016,1,10932.9,60㎡~85㎡
2,경기,2016,1,11385.0,85㎡~102㎡
3,경기,2016,1,12705.0,102㎡~
4,경기,2016,2,10870.199999999999,60㎡
5,경기,2016,2,10784.4,60㎡~85㎡
6,경기,2016,2,11157.3,85㎡~102㎡
7,경기,2016,2,12107.699999999999,102㎡~
8,경기,2016,3,11355.3,60㎡
9,경기,2016,3,10754.699999999999,60㎡~85㎡
10,경기,2016,3,11097.9,85㎡~102㎡
11,경기,2016,3,12144.0,102㎡~
12,경기,2016,4,11220.0,60㎡
13,경기,2016,4,10701.9,60㎡~85㎡
14,경기,2016,4,11203.5,85㎡~102㎡
15,경기,2016,4,11916.3,102㎡~
16,경기,2016,5,12276.0,60㎡
17,경기,2016,5,11361.9,60㎡~85㎡
18,경기,2016,5,11121.0,85㎡~102㎡
19,경기,2016,5,13054.8,102㎡~
20,경기,2016,6,12477.3,60㎡
21,경기,2016,6,11678.699999999999,60㎡~85㎡
22,경기,2016,6,11002.199999999999,85㎡~102㎡
23,경기,2016,6,13440.9,102㎡~
24,경기,2016,7,12490.5,60㎡
25,경기,2016,7,11652.3,60㎡~85㎡
26,경기,2016,7,11035.199999999999,85㎡~102㎡
27,경기,2016,7,13609.199999999999,102㎡~
28,경기,2016,8,12500.4,60㎡
29,경기,2016,8,11721.599999999999,60㎡~85㎡
30,경기,2016,8,10899.9,85㎡~102㎡
31,경기,2016,8,13351.8,102㎡~
32,경기,2016,9,11365.199999999999,60㎡
33,경기,2016,9,10942.8,60㎡~85㎡
34,경기,2016,9,10824.0,85㎡~102㎡
35,경기,2016,9,13460.699999999999,102㎡~
36,경기,2016,10,11576.4,60㎡
37,경기,2016,10,11183.699999999999,60㎡~85㎡
38,경기,2016,10,10906.5,85㎡~102㎡
39,경기,2016,10,13922.699999999999,102㎡~
40,경기,2016,11,12045.0,60㎡
41,경기,2016,11,11540.099999999999,60㎡~85㎡
42,경기,2016,11,11348.699999999999,85㎡~102㎡
43,경기,2016,11,13959.0,102㎡~
44,경기,2016,12,11886.599999999999,60㎡
45,경기,2016,12,11576.4,60㎡~85㎡
46,경기,2016,12,11088.0,85㎡~102㎡
47,경기,2016,12,13955.699999999999,102㎡~
48,경기,2017,1,11909.699999999999,60㎡
49,경기,2017,1,11576.4,60㎡~85㎡
50,경기,2017,1,11088.0,85㎡~102㎡
51,경기,2017,1,13955.699999999999,102㎡~
52,경기,2017,2,12051.599999999999,60㎡
53,경기,2017,2,11754.599999999999,60㎡~85㎡
54,경기,2017,2,11398.199999999999,85㎡~102㎡
55,경기,2017,2,14176.8,102㎡~
56,경기,2017,3,12450.9,60㎡
57,경기,2017,3,11830.5,60㎡~85㎡
58,경기,2017,3,11639.099999999999,85㎡~102㎡
59,경기,2017,3,14259.3,102㎡~
60,경기,2017,4,12579.599999999999,60㎡
61,경기,2017,4,11721.599999999999,60㎡~85㎡
62,경기,2017,4,11906.4,85㎡~102㎡
63,경기,2017,4,14100.9,102㎡~
64,경기,2017,5,11972.4,60㎡
65,경기,2017,5,11424.599999999999,60㎡~85㎡
66,경기,2017,5,11850.3,85㎡~102㎡
67,경기,2017,5,13348.5,102㎡~
68,경기,2017,6,12114.3,60㎡
69,경기,2017,6,11586.3,60㎡~85㎡
70,경기,2017,6,12064.8,85㎡~102㎡
71,경기,2017,6,13371.599999999999,102㎡~
72,경기,2017,7,12233.099999999999,60㎡
73,경기,2017,7,11959.199999999999,60㎡~85㎡
74,경기,2017,7,11896.5,85㎡~102㎡
75,경기,2017,7,13414.5,102㎡~
76,경기,2017,8,12731.4,60㎡
77,경기,2017,8,11955.9,60㎡~85㎡
78,경기,2017,8,12190.199999999999,85㎡~102㎡
79,경기,2017,8,13322.099999999999,102㎡~
80,경기,2017,9,12876.599999999999,60㎡
81,경기,2017,9,11883.3,60㎡~85㎡
82,경기,2017,9,12196.8,85㎡~102㎡
83,경기,2017,9,13348.5,102㎡~
84,경기,2017,10,12635.699999999999,60㎡
85,경기,2017,10,11794.199999999999,60㎡~85㎡
86,경기,2017,10,12437.699999999999,85㎡~102㎡
87,경기,2017,10,13229.699999999999,102㎡~
88,경기,2017,11,11678.699999999999,60㎡
89,경기,2017,11,10926.299999999997,60㎡~85㎡
90,경기,2017,11,10038.599999999999,85㎡~102㎡
91,경기,2017,11,11979.0,102㎡~
92,경기,2017,12,12635.699999999999,60㎡
93,경기,2017,12,11721.599999999999,60㎡~85㎡
94,경기,2017,12,12196.8,85㎡~102㎡
95,경기,2017,12,13632.3,102㎡~
96,경기,2018,1,13592.699999999999,60㎡
97,경기,2018,1,12516.9,60㎡~85㎡
98,경기,2018,1,14355.0,85㎡~102㎡
99,경기,2018,1,15285.599999999999,102㎡~
100,경기,2018,2,14011.8,60㎡
101,경기,2018,2,12625.8,60㎡~85㎡
102,경기,2018,2,14358.3,85㎡~102㎡
103,경기,2018,2,15361.5,102㎡~
104,경기,2018,3,14018.4,60㎡
105,경기,2018,3,12625.8,60㎡~85㎡
106,경기,2018,3,14091.0,85㎡~102㎡
107,경기,2018,3,15315.3,102㎡~
108,경기,2018,4,14044.8,60㎡
109,경기,2018,4,12658.8,60㎡~85㎡
110,경기,2018,4,14338.5,85㎡~102㎡
111,경기,2018,4,15163.5,102㎡~
112,경기,2018,5,14602.5,60㎡
113,경기,2018,5,13180.199999999999,60㎡~85㎡
114,경기,2018,5,14668.5,85㎡~102㎡
115,경기,2018,5,14906.099999999999,102㎡~
116,경기,2018,6,14853.3,60㎡
117,경기,2018,6,12955.8,60㎡~85㎡
118,경기,2018,6,15064.5,85㎡~102㎡
119,경기,2018,6,14289.0,102㎡~
120,경기,2018,7,15107.4,60㎡
121,경기,2018,7,13011.9,60㎡~85㎡
122,경기,2018,7,15384.599999999999,85㎡~102㎡
123,경기,2018,7,15090.9,102㎡~
124,경기,2018,8,14714.699999999999,60㎡
125,경기,2018,8,13546.5,60㎡~85㎡
126,경기,2018,8,16094.099999999999,85㎡~102㎡
127,경기,2018,8,15483.599999999999,102㎡~
128,경기,2018,9,14467.199999999999,60㎡
129,경기,2018,9,13602.599999999999,60㎡~85㎡
130,경기,2018,9,16084.199999999999,85㎡~102㎡
131,경기,2018,9,15496.8,102㎡~
132,경기,2018,10,14404.5,60㎡
133,경기,2018,10,13757.699999999999,60㎡~85㎡
134,경기,2018,10,16084.199999999999,85㎡~102㎡
135,경기,2018,10,15335.099999999999,102㎡~
136,경기,2018,11,14292.3,60㎡
137,경기,2018,11,13777.5,60㎡~85㎡
138,경기,2018,11,16724.399999999998,85㎡~102㎡
139,경기,2018,11,15269.099999999999,102㎡~
